60001, Wesola, 62, flat, between 2011-2020, 194, SilverStone Constructions, 8, 1, 34
94686, Sosnowa, 58, house, between 2021-2024, 53, GreenField Group, 10, 10, 8
94687, Konopna, 29, apartment, between 1981-2000, 58, GoldenGate Builders, 1, 1, 14
94688, Kwiatowa, 82, twin, between 1981-2000, 184, GoldenGate Builders, 2, 2, 89
94689, Akacjowa, 27, house, between 1951-1980, 188, BlueSky Developers, 3, 3, 38
94690, Mickiewicza, 49, twin, between 2001-2010, 147, SilverStone Constructions, 1, 1, 37
94691, Konopna, 75, flat, between 1981-2000, 117, GreenField Group, 7, 3, 74
94692, Sloneczna, 53, house, between 1981-2000, 4, BlueSky Developers, 3, 3, 269
94693, Wiosenna, 77, house, between 1900-1950, 141, GoldenGate Builders, 4, 4, 12
94694, Lesna, 48, house, between 2001-2010, 73, GoldenGate Builders, 4, 3, 128
94695, Mickiewicza, 22, flat, between 2011-2020, 106, SilverStone Constructions, 3, 1, 29
94696, Mickiewicza, 99, flat, between 1951-1980, 157, GreenField Group, 6, 1, 282
94697, Kwiatowa, 84, flat, between 1951-1980, 192, GreenField Group, 1, 1, 87
94698, Akacjowa, 95, house, between 2011-2020, 195, BlueSky Developers, 7, 5, 231
94699, Rzeczna, 41, flat, between 2011-2020, 13, GoldenGate Builders, 1, 1, 162
94700, Mickiewicza, 34, twin, between 2021-2024, 92, GoldenGate Builders, 1, 1, 241
94701, Sloneczna, 75, apartment, between 2011-2020, 180, GreenField Group, 6, 1, 147
94702, Aleja Lipowa, 68, twin, between 2011-2020, 18, SilverStone Constructions, 3, 2, 63
94703, Kwiatowa, 32, twin, between 2021-2024, 1, SilverStone Constructions, 1, 1, 217
94704, Parkowa, 91, twin, between 1900-1950, 163, BlueSky Developers, 1, 1, 280
94705, Krotka, 34, apartment, between 2011-2020, 162, GreenField Group, 8, 1, 179
94706, Mickiewicza, 81, flat, between 2001-2010, 98, GoldenGate Builders, 9, 6, 271
94707, Krucza, 51, house, between 1981-2000, 56, GreenField Group, 10, 5, 296
94708, Parkowa, 26, house, between 2021-2024, 2, GoldenGate Builders, 7, 1, 112
94709, Wspolna, 85, flat, between 1900-1950, 42, GreenField Group, 7, 1, 235
94710, Jagiellonska, 34, flat, between 2011-2020, 117, BlueSky Developers, 4, 4, 166
94711, Sienkiewicza, 84, twin, between 2001-2010, 160, GoldenGate Builders, 3, 1, 18
94712, Slowackiego, 34, flat, between 1951-1980, 160, GoldenGate Builders, 2, 1, 189
94713, Ogrodowa, 27, flat, between 1951-1980, 148, GreenField Group, 2, 2, 197
94714, Mickiewicza, 44, apartment, between 1900-1950, 4, GreenField Group, 2, 1, 2
94715, Sosnowa, 58, twin, between 2011-2020, 172, SilverStone Constructions, 2, 2, 0
94716, Spacerowa, 73, house, between 2021-2024, 110, GoldenGate Builders, 6, 4, 157
94717, Piastowska, 83, twin, between 1900-1950, 57, BlueSky Developers, 2, 2, 159
94718, Wiosenna, 87, house, between 1951-1980, 57, BlueSky Developers, 10, 7, 138
94719, Wspolna, 83, twin, between 2011-2020, 138, BlueSky Developers, 1, 1, 206
94720, Kwiatowa, 98, house, between 1951-1980, 4, GoldenGate Builders, 1, 1, 275
94721, Wiosenna, 75, house, between 1951-1980, 27, GoldenGate Builders, 1, 1, 273
94722, Ogrodowa, 41, twin, between 2011-2020, 176, BlueSky Developers, 3, 2, 229
94723, Kwiatowa, 96, flat, between 1951-1980, 101, GreenField Group, 4, 3, 14
94724, Polna, 28, house, between 1900-1950, 174, GreenField Group, 3, 3, 71
94725, Wiosenna, 67, flat, between 1900-1950, 107, SilverStone Constructions, 7, 4, 253
94726, Sloneczna, 95, flat, between 1900-1950, 152, SilverStone Constructions, 7, 7, 70
94727, Ogrodowa, 86, twin, between 2021-2024, 56, GoldenGate Builders, 3, 3, 70
94728, Sloneczna, 62, flat, between 1981-2000, 63, SilverStone Constructions, 7, 3, 63
94729, Chopina, 45, house, between 2001-2010, 135, BlueSky Developers, 9, 6, 33
94730, Slowackiego, 85, flat, between 1951-1980, 81, GoldenGate Builders, 9, 6, 163
94731, Slowackiego, 95, apartment, between 2001-2010, 193, SilverStone Constructions, 7, 2, 111
94732, Piastowska, 93, apartment, between 2001-2010, 79, GreenField Group, 10, 2, 56
94733, Rzeczna, 53, flat, between 1981-2000, 199, GoldenGate Builders, 1, 1, 164
94734, Parkowa, 41, house, between 1951-1980, 47, SilverStone Constructions, 3, 2, 27
94735, Jagiellonska, 69, flat, between 2011-2020, 62, BlueSky Developers, 8, 3, 148
94736, Slowackiego, 24, flat, between 1900-1950, 87, SilverStone Constructions, 3, 1, 133
94737, Mickiewicza, 70, flat, between 1951-1980, 65, SilverStone Constructions, 3, 3, 51
94738, Rzeczna, 83, apartment, between 2001-2010, 164, GreenField Group, 3, 3, 181
94739, Brzozowa, 45, twin, between 2011-2020, 85, BlueSky Developers, 2, 2, 148
94740, Polna, 83, flat, between 1900-1950, 168, GreenField Group, 9, 7, 103
94741, Koscielna, 91, house, between 2021-2024, 25, GreenField Group, 3, 1, 286
94742, Piastowska, 38, apartment, between 1981-2000, 154, BlueSky Developers, 1, 1, 189
94743, Kwiatowa, 43, flat, between 2011-2020, 142, SilverStone Constructions, 4, 1, 143
94744, Koscielna, 45, flat, between 1951-1980, 186, SilverStone Constructions, 3, 1, 236
94745, Mickiewicza, 71, house, between 1900-1950, 80, GoldenGate Builders, 9, 1, 38
94746, Reymonta, 48, apartment, between 1981-2000, 170, SilverStone Constructions, 2, 2, 276
94747, Krotka, 51, house, between 2001-2010, 54, GoldenGate Builders, 1, 1, 288
94748, Piekna, 65, twin, between 2001-2010, 61, GoldenGate Builders, 2, 2, 22
94749, Plac Wolnosci, 81, flat, between 1951-1980, 67, GoldenGate Builders, 5, 4, 95
94750, Sienkiewicza, 61, flat, between 2021-2024, 57, GoldenGate Builders, 4, 1, 215
94751, 3 Maja, 93, apartment, between 1900-1950, 114, GoldenGate Builders, 8, 3, 152
94752, Konopna, 87, apartment, between 1951-1980, 14, GoldenGate Builders, 6, 4, 158
94753, Krotka, 45, apartment, between 2001-2010, 94, SilverStone Constructions, 3, 2, 38
94754, Plac Wolnosci, 56, apartment, between 2001-2010, 98, SilverStone Constructions, 1, 1, 270
94755, Kwiatowa, 26, house, between 1900-1950, 192, GreenField Group, 1, 1, 230
94756, Topolowa, 73, flat, between 2011-2020, 41, BlueSky Developers, 8, 8, 231
94757, Topolowa, 73, apartment, between 2021-2024, 27, BlueSky Developers, 8, 7, 149
94758, Kwiatowa, 26, house, between 2021-2024, 153, GoldenGate Builders, 10, 2, 11
94759, Sloneczna, 23, house, between 2011-2020, 156, GoldenGate Builders, 2, 1, 199
94760, Mickiewicza, 78, apartment, between 2011-2020, 39, GoldenGate Builders, 6, 5, 238
94761, Mickiewicza, 47, twin, between 2021-2024, 32, GreenField Group, 2, 2, 126
94762, Mickiewicza, 39, flat, between 2011-2020, 22, GreenField Group, 3, 2, 265
94763, Mickiewicza, 91, house, between 1900-1950, 28, GreenField Group, 9, 1, 240
94764, Cicha, 37, flat, between 1900-1950, 43, GoldenGate Builders, 10, 5, 124
94765, Polna, 67, twin, between 1900-1950, 174, BlueSky Developers, 1, 1, 69
94766, Jagiellonska, 40, twin, between 2001-2010, 31, GreenField Group, 3, 1, 63
94767, Piekna, 80, flat, between 1951-1980, 167, GreenField Group, 4, 4, 87
94768, Mickiewicza, 58, flat, between 2021-2024, 138, SilverStone Constructions, 1, 1, 78
94769, Krotka, 38, twin, between 1900-1950, 58, BlueSky Developers, 3, 1, 39
94770, Ogrodowa, 99, flat, between 2021-2024, 124, SilverStone Constructions, 4, 1, 213
94771, Ogrodowa, 100, flat, between 2001-2010, 185, SilverStone Constructions, 10, 8, 66
94772, Aleja Lipowa, 35, twin, between 2001-2010, 12, GoldenGate Builders, 2, 1, 128
94773, Topolowa, 23, apartment, between 2011-2020, 160, GoldenGate Builders, 2, 1, 59
94774, Kwiatowa, 60, twin, between 1951-1980, 193, GreenField Group, 1, 1, 53
94775, Piastowska, 21, twin, between 1951-1980, 42, SilverStone Constructions, 1, 1, 219
94776, Slowackiego, 33, house, between 1981-2000, 70, SilverStone Constructions, 6, 4, 179
94777, Kwiatowa, 83, house, between 1900-1950, 79, GreenField Group, 5, 5, 20
94778, Ogrodowa, 30, flat, between 1951-1980, 45, GoldenGate Builders, 8, 7, 107
94779, Kwiatowa, 94, house, between 2021-2024, 19, BlueSky Developers, 7, 5, 155
94780, Mickiewicza, 44, house, between 2011-2020, 39, GreenField Group, 8, 7, 247
94781, Piekna, 84, house, between 2001-2010, 84, BlueSky Developers, 9, 4, 84
94782, Piastowska, 57, apartment, between 2011-2020, 120, BlueSky Developers, 2, 1, 97
94783, Piekna, 42, house, between 2011-2020, 119, GreenField Group, 3, 2, 230
94784, Koscielna, 22, house, between 1900-1950, 197, BlueSky Developers, 2, 1, 86
94785, Rzeczna, 63, twin, between 1981-2000, 23, GoldenGate Builders, 1, 1, 131
94786, Krotka, 94, apartment, between 2011-2020, 51, BlueSky Developers, 5, 2, 237
94787, Koscielna, 74, apartment, between 1981-2000, 139, SilverStone Constructions, 9, 8, 282
94788, Lesna, 81, flat, between 2001-2010, 123, BlueSky Developers, 4, 1, 293
94789, Zielona, 60, twin, between 1981-2000, 13, BlueSky Developers, 3, 3, 29
94790, Chopina, 29, twin, between 1951-1980, 169, GreenField Group, 2, 2, 42
94791, Piastowska, 34, flat, between 1951-1980, 113, SilverStone Constructions, 8, 8, 30
94792, Piastowska, 83, house, between 1951-1980, 134, SilverStone Constructions, 6, 4, 244
94793, Mickiewicza, 44, flat, between 2001-2010, 164, GreenField Group, 5, 5, 26
94794, Rzeczna, 87, house, between 1900-1950, 19, GoldenGate Builders, 2, 1, 64
94795, Jagiellonska, 66, flat, between 1900-1950, 27, GoldenGate Builders, 1, 1, 72
94796, Piastowska, 75, flat, between 2001-2010, 139, GreenField Group, 4, 2, 287
94797, Koscielna, 30, apartment, between 2011-2020, 171, GoldenGate Builders, 2, 2, 265
94798, Kwiatowa, 24, flat, between 1981-2000, 64, SilverStone Constructions, 1, 1, 254
94799, Mickiewicza, 50, flat, between 2001-2010, 182, BlueSky Developers, 6, 6, 105
94800, Sloneczna, 44, house, between 2001-2010, 125, BlueSky Developers, 6, 2, 121
94801, Mickiewicza, 66, house, between 1981-2000, 56, GreenField Group, 4, 1, 48
94802, Sloneczna, 98, house, between 1951-1980, 60, GreenField Group, 5, 1, 170
94803, Kwiatowa, 80, house, between 2011-2020, 119, GreenField Group, 1, 1, 56
94804, Mickiewicza, 44, house, between 1981-2000, 29, GoldenGate Builders, 5, 3, 67
94805, Kwiatowa, 22, twin, between 1900-1950, 161, SilverStone Constructions, 1, 1, 129
94806, Piastowska, 75, house, between 1981-2000, 104, GreenField Group, 3, 3, 31
94807, 3 Maja, 71, apartment, between 1981-2000, 2, BlueSky Developers, 10, 4, 147
94808, Kwiatowa, 47, flat, between 2021-2024, 142, GoldenGate Builders, 2, 2, 52
94809, Piekna, 99, house, between 2001-2010, 164, BlueSky Developers, 5, 5, 136
94810, Spacerowa, 83, flat, between 1900-1950, 64, GreenField Group, 10, 3, 87
94811, Lesna, 70, flat, between 1951-1980, 88, BlueSky Developers, 5, 5, 238
94812, Akacjowa, 52, apartment, between 2001-2010, 146, SilverStone Constructions, 10, 4, 182
94813, Cicha, 21, house, between 1900-1950, 158, BlueSky Developers, 8, 3, 119
94814, Piastowska, 96, flat, between 1981-2000, 107, GoldenGate Builders, 4, 3, 25
94815, Polna, 93, twin, between 1981-2000, 75, GreenField Group, 1, 1, 151
94816, Rzeczna, 66, flat, between 2011-2020, 189, BlueSky Developers, 4, 2, 238
94817, Piekna, 85, flat, between 1900-1950, 157, GoldenGate Builders, 10, 1, 146
94818, Kwiatowa, 46, house, between 2001-2010, 145, GoldenGate Builders, 5, 4, 280
94819, Mickiewicza, 86, apartment, between 1900-1950, 105, SilverStone Constructions, 10, 5, 284
94820, Rzeczna, 52, twin, between 2001-2010, 125, BlueSky Developers, 1, 1, 278
94821, Sloneczna, 34, house, between 1951-1980, 190, GoldenGate Builders, 3, 2, 3
94822, Lesna, 72, apartment, between 2021-2024, 196, GoldenGate Builders, 10, 8, 159
94823, Kwiatowa, 41, apartment, between 1951-1980, 76, SilverStone Constructions, 3, 3, 136
94824, Reymonta, 25, house, between 1900-1950, 14, GoldenGate Builders, 3, 3, 111
94825, Topolowa, 20, twin, between 2021-2024, 152, GoldenGate Builders, 1, 1, 180
94826, lakowa, 34, twin, between 2021-2024, 67, BlueSky Developers, 1, 1, 129
94827, Topolowa, 24, flat, between 2001-2010, 43, GoldenGate Builders, 5, 3, 130
94828, Kwiatowa, 60, house, between 1951-1980, 159, GreenField Group, 5, 3, 258
94829, Piekna, 52, flat, between 1981-2000, 18, SilverStone Constructions, 10, 1, 227
94830, Mickiewicza, 73, apartment, between 2001-2010, 172, BlueSky Developers, 3, 2, 140
94831, Polna, 38, twin, between 1981-2000, 60, GreenField Group, 3, 2, 205
94832, Lesna, 40, flat, between 1951-1980, 31, GreenField Group, 10, 7, 230
94833, Piastowska, 42, twin, between 1900-1950, 176, BlueSky Developers, 1, 1, 231
94834, Polna, 54, house, between 1981-2000, 67, BlueSky Developers, 6, 1, 221
94835, Polna, 88, house, between 2011-2020, 199, BlueSky Developers, 1, 1, 48
94836, Lesna, 99, twin, between 2021-2024, 5, SilverStone Constructions, 2, 1, 115
94837, Kwiatowa, 98, house, between 1951-1980, 120, SilverStone Constructions, 4, 4, 17
94838, Konopna, 37, flat, between 1900-1950, 74, SilverStone Constructions, 7, 6, 116
94839, Koscielna, 50, twin, between 2001-2010, 32, BlueSky Developers, 3, 3, 294
94840, Sosnowa, 68, house, between 1951-1980, 7, GreenField Group, 10, 3, 39
94841, Chopina, 64, apartment, between 1951-1980, 120, GreenField Group, 7, 6, 239
94842, Mickiewicza, 21, house, between 1981-2000, 2, GoldenGate Builders, 6, 2, 174
94843, Mickiewicza, 86, flat, between 1900-1950, 152, GoldenGate Builders, 9, 6, 208
94844, Lesna, 84, twin, between 2001-2010, 19, GreenField Group, 2, 1, 126
94845, Kwiatowa, 57, twin, between 1951-1980, 101, GreenField Group, 1, 1, 169
94846, lakowa, 62, flat, between 1981-2000, 198, GreenField Group, 2, 1, 10
94847, Slowackiego, 25, flat, between 1951-1980, 9, GreenField Group, 10, 3, 186
94848, Koscielna, 57, apartment, between 1951-1980, 174, SilverStone Constructions, 4, 3, 238
94849, Sienkiewicza, 91, flat, between 1981-2000, 72, GoldenGate Builders, 10, 10, 32
94850, Piekna, 60, twin, between 1951-1980, 140, GreenField Group, 2, 1, 196
94851, Kwiatowa, 89, twin, between 2001-2010, 98, GreenField Group, 2, 1, 284
94852, Sosnowa, 88, house, between 1951-1980, 139, SilverStone Constructions, 4, 1, 160
94853, Sloneczna, 49, apartment, between 1951-1980, 116, SilverStone Constructions, 9, 6, 234
94854, Piastowska, 93, apartment, between 2021-2024, 138, GoldenGate Builders, 9, 6, 68
94855, Piekna, 96, flat, between 2021-2024, 192, GoldenGate Builders, 4, 1, 20
94856, Kwiatowa, 27, flat, between 2021-2024, 53, GoldenGate Builders, 10, 10, 144
94857, Parkowa, 76, flat, between 2001-2010, 143, SilverStone Constructions, 2, 2, 6
94858, Cicha, 48, house, between 2001-2010, 164, GreenField Group, 2, 2, 206
94859, Kwiatowa, 35, flat, between 1900-1950, 40, BlueSky Developers, 2, 2, 219
94860, Jagiellonska, 48, house, between 1981-2000, 7, GoldenGate Builders, 2, 2, 287
94861, Spacerowa, 46, twin, between 1981-2000, 121, GreenField Group, 3, 3, 241
94862, Rzeczna, 61, flat, between 2021-2024, 61, GreenField Group, 3, 3, 26
94863, 3 Maja, 51, apartment, between 1981-2000, 82, GreenField Group, 1, 1, 42
94864, Mickiewicza, 66, flat, between 1981-2000, 37, GoldenGate Builders, 1, 1, 33
94865, 3 Maja, 77, apartment, between 2011-2020, 80, BlueSky Developers, 9, 3, 226
94866, Krucza, 27, apartment, between 1900-1950, 85, GoldenGate Builders, 9, 2, 226
94867, Lesna, 53, house, between 2011-2020, 46, GreenField Group, 8, 6, 121
94868, Sienkiewicza, 93, apartment, between 2011-2020, 61, BlueSky Developers, 2, 1, 170
94869, Kwiatowa, 87, house, between 2021-2024, 185, GoldenGate Builders, 8, 3, 291
94870, Aleja Lipowa, 40, house, between 1981-2000, 41, SilverStone Constructions, 3, 1, 81
94871, Slowackiego, 20, twin, between 2021-2024, 185, BlueSky Developers, 3, 1, 293
94872, Polna, 82, twin, between 2001-2010, 115, BlueSky Developers, 2, 1, 262
94873, Mickiewicza, 84, apartment, between 2021-2024, 175, GreenField Group, 6, 3, 53
94874, Polna, 50, apartment, between 2021-2024, 199, SilverStone Constructions, 10, 10, 299
94875, Reymonta, 43, house, between 2001-2010, 195, GreenField Group, 5, 3, 299
94876, Piekna, 94, house, between 2001-2010, 99, GreenField Group, 9, 3, 246
94877, Piekna, 58, flat, between 2021-2024, 194, SilverStone Constructions, 8, 4, 156
94878, Kwiatowa, 40, house, between 2021-2024, 1, SilverStone Constructions, 8, 7, 106
94879, Konopna, 63, flat, between 1951-1980, 50, BlueSky Developers, 1, 1, 270
94880, Kwiatowa, 80, apartment, between 1951-1980, 172, BlueSky Developers, 4, 4, 102
94881, Sloneczna, 74, house, between 2001-2010, 41, GreenField Group, 6, 5, 58
94882, Kwiatowa, 62, apartment, between 2021-2024, 170, SilverStone Constructions, 3, 2, 6
94883, Kwiatowa, 91, house, between 2021-2024, 131, BlueSky Developers, 4, 1, 122
94884, Kwiatowa, 30, house, between 1951-1980, 113, GreenField Group, 9, 5, 134
94885, Kwiatowa, 57, twin, between 1951-1980, 102, BlueSky Developers, 3, 1, 102
94886, Mickiewicza, 99, house, between 2021-2024, 174, BlueSky Developers, 3, 2, 142
94887, lakowa, 42, flat, between 1981-2000, 75, GreenField Group, 8, 7, 116
94888, Slowackiego, 62, apartment, between 2021-2024, 177, SilverStone Constructions, 6, 4, 194
94889, Kwiatowa, 62, twin, between 1981-2000, 32, BlueSky Developers, 3, 2, 48
94890, Mickiewicza, 28, house, between 1981-2000, 27, GreenField Group, 1, 1, 36
94891, Sosnowa, 67, house, between 1981-2000, 90, GoldenGate Builders, 5, 1, 163
94892, Kwiatowa, 73, house, between 1981-2000, 77, BlueSky Developers, 10, 2, 110
94893, Piastowska, 52, apartment, between 1900-1950, 50, GoldenGate Builders, 1, 1, 292
94894, lakowa, 90, twin, between 2021-2024, 179, GreenField Group, 1, 1, 172
94895, Slowackiego, 21, house, between 1981-2000, 83, SilverStone Constructions, 4, 1, 122
94896, Akacjowa, 35, flat, between 2011-2020, 54, BlueSky Developers, 1, 1, 169
94897, Piastowska, 53, flat, between 1900-1950, 183, GreenField Group, 9, 7, 0
94898, Zielona, 64, twin, between 2001-2010, 75, GoldenGate Builders, 1, 1, 53
94899, Mickiewicza, 40, apartment, between 1951-1980, 76, GoldenGate Builders, 8, 5, 62
94900, Kwiatowa, 97, flat, between 2001-2010, 105, BlueSky Developers, 7, 3, 104
94901, Spacerowa, 80, twin, between 2001-2010, 169, BlueSky Developers, 2, 1, 226
94902, Slowackiego, 93, house, between 2021-2024, 82, BlueSky Developers, 6, 1, 145
94903, Aleja Lipowa, 71, twin, between 1900-1950, 177, GreenField Group, 1, 1, 157
94904, Sloneczna, 40, flat, between 2011-2020, 129, GreenField Group, 8, 1, 57
94905, Kwiatowa, 85, twin, between 2021-2024, 78, GreenField Group, 1, 1, 56
94906, Kwiatowa, 36, apartment, between 2001-2010, 14, BlueSky Developers, 6, 1, 21
94907, Kwiatowa, 74, twin, between 1900-1950, 91, GreenField Group, 2, 2, 123
94908, Wspolna, 68, flat, between 1951-1980, 170, BlueSky Developers, 1, 1, 179
94909, Kwiatowa, 64, house, between 2011-2020, 177, GoldenGate Builders, 4, 4, 109
94910, Sportowa, 57, flat, between 2011-2020, 69, BlueSky Developers, 3, 3, 78
94911, Mickiewicza, 31, twin, between 2021-2024, 90, BlueSky Developers, 2, 2, 172
94912, Piastowska, 82, apartment, between 1951-1980, 53, GreenField Group, 9, 6, 127
94913, Spacerowa, 37, house, between 1900-1950, 125, SilverStone Constructions, 7, 4, 211
94914, Lesna, 43, apartment, between 1981-2000, 131, GreenField Group, 1, 1, 180
94915, Jagiellonska, 39, house, between 2001-2010, 144, GreenField Group, 8, 6, 158
94916, Rzeczna, 45, twin, between 1951-1980, 5, SilverStone Constructions, 2, 1, 56
94917, Sloneczna, 40, apartment, between 1951-1980, 111, BlueSky Developers, 1, 1, 201
94918, Chopina, 27, house, between 1981-2000, 5, GreenField Group, 4, 3, 181
94919, Kwiatowa, 30, flat, between 2021-2024, 113, BlueSky Developers, 8, 2, 140
94920, Chopina, 29, apartment, between 1900-1950, 5, SilverStone Constructions, 1, 1, 248
94921, Mickiewicza, 81, twin, between 1951-1980, 133, SilverStone Constructions, 3, 1, 34
94922, Jagiellonska, 86, twin, between 1981-2000, 35, GreenField Group, 3, 2, 150
94923, Cicha, 41, house, between 2001-2010, 134, SilverStone Constructions, 7, 7, 84
94924, Lesna, 93, flat, between 1900-1950, 15, SilverStone Constructions, 4, 4, 186
94925, Sienkiewicza, 49, house, between 2011-2020, 91, GreenField Group, 1, 1, 24
94926, Reymonta, 65, house, between 1981-2000, 34, BlueSky Developers, 5, 4, 205
94927, Aleja Lipowa, 81, house, between 2001-2010, 111, GoldenGate Builders, 1, 1, 186
94928, Wiosenna, 45, apartment, between 1900-1950, 171, GoldenGate Builders, 6, 2, 150
94929, Topolowa, 93, apartment, between 1981-2000, 127, GreenField Group, 2, 1, 202
94930, Krucza, 41, house, between 1900-1950, 83, GreenField Group, 6, 3, 125
94931, Slowackiego, 56, house, between 1951-1980, 160, GreenField Group, 5, 2, 66
94932, Mickiewicza, 63, apartment, between 1951-1980, 55, BlueSky Developers, 3, 2, 101
94933, Piastowska, 40, house, between 2011-2020, 96, BlueSky Developers, 6, 3, 71
94934, Parkowa, 42, house, between 1981-2000, 90, GreenField Group, 6, 3, 100
94935, Ogrodowa, 65, flat, between 2021-2024, 146, GreenField Group, 6, 2, 258
94936, Piekna, 26, flat, between 2021-2024, 56, BlueSky Developers, 3, 2, 140
94937, Kwiatowa, 79, house, between 1900-1950, 134, GoldenGate Builders, 6, 6, 219
94938, Wesola, 31, apartment, between 1981-2000, 26, GoldenGate Builders, 9, 5, 126
94939, Sloneczna, 25, apartment, between 2021-2024, 65, SilverStone Constructions, 2, 1, 12
94940, Mickiewicza, 36, twin, between 2011-2020, 47, GreenField Group, 1, 1, 83
94941, Kwiatowa, 31, flat, between 1981-2000, 28, BlueSky Developers, 4, 3, 117
94942, Sloneczna, 42, twin, between 1900-1950, 55, GoldenGate Builders, 3, 1, 242
94943, Wesola, 62, house, between 1900-1950, 195, GoldenGate Builders, 10, 1, 64
94944, Krotka, 97, house, between 1981-2000, 138, GreenField Group, 2, 2, 278
94945, Sloneczna, 40, flat, between 1900-1950, 60, BlueSky Developers, 4, 1, 167
94946, Wiosenna, 26, house, between 1981-2000, 35, GreenField Group, 6, 5, 280
94947, Brzozowa, 82, house, between 1900-1950, 81, SilverStone Constructions, 2, 2, 228
94948, Kwiatowa, 92, flat, between 1951-1980, 168, GreenField Group, 1, 1, 37
94949, Lesna, 67, apartment, between 1981-2000, 199, GoldenGate Builders, 5, 4, 169
94950, Ogrodowa, 52, twin, between 2021-2024, 12, SilverStone Constructions, 3, 3, 173
94951, Akacjowa, 52, house, between 2001-2010, 45, GreenField Group, 1, 1, 224
94952, Konopna, 76, flat, between 1981-2000, 133, GoldenGate Builders, 7, 1, 21
94953, Krucza, 45, twin, between 2011-2020, 179, BlueSky Developers, 3, 3, 129
94954, Brzozowa, 41, flat, between 2011-2020, 185, GreenField Group, 9, 2, 177
94955, Kwiatowa, 59, house, between 1951-1980, 141, BlueSky Developers, 4, 3, 52
94956, Kwiatowa, 76, twin, between 2011-2020, 142, SilverStone Constructions, 2, 2, 265
94957, Polna, 26, apartment, between 1900-1950, 119, BlueSky Developers, 10, 3, 96
94958, Krucza, 54, twin, between 1981-2000, 91, BlueSky Developers, 3, 3, 186
94959, Kolobrzeska, 26, house, between 2021-2024, 1, GreenField Group, 3, 3, 84
94960, Spacerowa, 35, flat, between 2001-2010, 199, SilverStone Constructions, 6, 3, 231
94961, Piastowska, 91, flat, between 1951-1980, 121, GreenField Group, 6, 3, 92
94962, Piastowska, 46, house, between 1981-2000, 6, BlueSky Developers, 6, 3, 272
94963, Jagiellonska, 71, twin, between 2001-2010, 198, BlueSky Developers, 3, 1, 163
94964, Rzeczna, 43, apartment, between 2011-2020, 1, SilverStone Constructions, 9, 5, 1
94965, Piastowska, 84, flat, between 1951-1980, 200, GreenField Group, 1, 1, 288
94966, Sportowa, 29, twin, between 2001-2010, 127, BlueSky Developers, 2, 2, 6
94967, Sienkiewicza, 57, house, between 1900-1950, 69, BlueSky Developers, 7, 2, 234
94968, Reymonta, 81, apartment, between 1951-1980, 92, SilverStone Constructions, 10, 1, 91
94969, Mickiewicza, 95, twin, between 1981-2000, 83, GoldenGate Builders, 1, 1, 276
94970, Konopna, 99, apartment, between 1951-1980, 197, SilverStone Constructions, 2, 2, 1
94971, Krotka, 72, apartment, between 2021-2024, 138, BlueSky Developers, 9, 7, 166
94972, Sloneczna, 40, flat, between 1900-1950, 161, BlueSky Developers, 10, 5, 101
94973, Lesna, 97, house, between 2021-2024, 77, GoldenGate Builders, 5, 1, 271
94974, Koscielna, 59, twin, between 2021-2024, 53, SilverStone Constructions, 1, 1, 262
94975, Piastowska, 26, house, between 1900-1950, 123, SilverStone Constructions, 4, 1, 260
94976, Sienkiewicza, 44, twin, between 2021-2024, 4, GoldenGate Builders, 1, 1, 228
94977, Mickiewicza, 35, apartment, between 1981-2000, 119, BlueSky Developers, 5, 4, 100
94978, Wiosenna, 53, flat, between 2021-2024, 27, GreenField Group, 5, 1, 244
94979, Krotka, 50, apartment, between 2001-2010, 165, BlueSky Developers, 2, 1, 13
94980, Kwiatowa, 51, twin, between 2011-2020, 102, SilverStone Constructions, 1, 1, 79
94981, Sienkiewicza, 38, twin, between 1981-2000, 23, BlueSky Developers, 1, 1, 286
94982, Brzozowa, 94, house, between 2011-2020, 94, GreenField Group, 9, 9, 226
94983, Wiosenna, 39, house, between 1981-2000, 80, SilverStone Constructions, 3, 1, 74
94984, Wiosenna, 32, house, between 2001-2010, 21, BlueSky Developers, 7, 5, 138
94985, Kwiatowa, 33, house, between 2001-2010, 8, BlueSky Developers, 10, 6, 221
94986, Mickiewicza, 47, twin, between 2021-2024, 129, GoldenGate Builders, 1, 1, 12
94987, Spacerowa, 58, apartment, between 1951-1980, 69, SilverStone Constructions, 2, 2, 285
94988, Reymonta, 62, twin, between 1981-2000, 122, SilverStone Constructions, 1, 1, 255
94989, Polna, 74, house, between 1981-2000, 115, SilverStone Constructions, 9, 7, 193
94990, Mickiewicza, 41, flat, between 2001-2010, 137, BlueSky Developers, 6, 6, 157
94991, Kwiatowa, 81, apartment, between 2001-2010, 49, BlueSky Developers, 1, 1, 110
94992, Sloneczna, 90, flat, between 2001-2010, 115, GoldenGate Builders, 5, 1, 93
94993, Mickiewicza, 63, apartment, between 1951-1980, 194, SilverStone Constructions, 10, 7, 95
94994, 3 Maja, 91, twin, between 2001-2010, 72, BlueSky Developers, 2, 2, 80
94995, Sosnowa, 40, house, between 1981-2000, 161, GoldenGate Builders, 1, 1, 204
94996, Piastowska, 50, flat, between 2011-2020, 116, GoldenGate Builders, 2, 1, 43
94997, Wiosenna, 35, house, between 2021-2024, 188, SilverStone Constructions, 2, 1, 291
94998, Zielona, 92, twin, between 2001-2010, 30, GoldenGate Builders, 3, 2, 185
